1	16	5	838985046
1	1	5	838983525
1	11	5	838983392
1	18	5	838983421
1	5	5	838983392
2	12	5	868245777
2	17	3	868246450
2	3	5	868244562
2	9	3	868245920
2	18	3	868246262
3	4	5	1136075500
3	7	5	1133571026
3	13	5	1136075789
3	10	4	1136075494
3	8	4	1133571121
3	16	4	1136075616
3	11	5	1136418593
4	20	3	844416980
4	8	5	844416936
4	18	3	844417037
4	15	5	844416866
4	1	5	844416656
4	14	5	844416699
4	10	5	844416835
4	17	5	844416655
4	12	5	844416742
4	6	3	844416980
5	6	1	857911264
5	17	3	857911357
5	20	3	857911265
5	16	5	857912968
5	18	5	857912840
5	10	5	857912593
5	2	5	857913376
5	4	4	857913475
5	7	4	857913337
5	11	5	857913018
5	1	4	857913553
5	12	1	857911690
6	20	5	1001083687
6	19	5	1001083120
6	1	3	1001083633
7	2	4	1049820474
7	18	4	1050329529
7	13	5	1054292314
7	4	3	1049820445
7	5	2	1049820445
7	7	5	1050098488
7	20	4	1050329550
7	15	3	1052002788
7	16	5	1054292339
7	11	5	1054292701
7	17	5	1049845625
7	6	4	1052002512
7	3	3	1049764584
7	10	4	1055038104
8	2	3	1115858432
8	5	3	1116550582
8	6	4	1116547028
8	7	4	1116554107
8	13	2	111162341
8	11	4	1111623997
8	13	3	1111623207
8	10	3	1116553306
8	20	4	1116548669
8	14	3	1111624259
8	17	4	1116553297
8	8	3	1111545909
8	9	4	1111623327
8	12	4	1111623322
9	1	2	1162141411
9	3	5	1162141407
9	2	3	1162141425
9	11	4	1162141414
9	10	5	1162141616
10	2	4	941543628
10	4	2	941545472
10	11	4	942837745
10	20	3	941529351
10	17	4	941544299
10	18	5	942837006
10	19	4	942837006
10	16	3	942836567
10	3	2	942837088
10	4	3	941529310
